PROJECT_ID,PROJECT,ROUND,AMOUNT
0xab3b35780a86f5ec610e911fe359e8cbbef9278b300e61826b1d11531d10cb62,ICDevs.org,WEB3 INFRA,
0xcca3989883a39e5ceac10e7a29aba47ebeb6c6e051b78ad756553e426bf060be,IDENA,WEB3 INFRA,
0xad4375ecf83acf4c0430c4d8ebae37ef3c479f8a2a26ca82170c65a4a38b2796,AxiomPay,WEB3 INFRA,
0x9aa1813681cbc4c7acdad3f7687ee68b6c21a055f2df0d771551ad3d0a9e9d4d,Multipass,WEB3 INFRA,
0x39b9fc3f64d4d9e2c2fadf87c5ffff6646067729145f81323afadfd33f4f099b,Cubane,WEB3 INFRA,
0xdaf7588714a0008d7ee1fe317a87c80a6f64cb8881c016a1d87bc704eb3b115f,eth.limo,WEB3 INFRA,
0xdc0b943e2454a497741381ee6172f90a77bc4e16ebc81ac60a5e9bc4c9438ec9,Verifereum,WEB3 INFRA,
0x431cb7cd8b33fb6d4825e197199e3faffc55d038827572e0dff7e6632a5a27ef,AI Agent Research Labs,WEB3 INFRA,
0xa69971a1d0e5b72ec73d6504b6a67ed620f837dd10ec9aaeda1d5847d29cf272,WebHash,WEB3 INFRA,
0xccda73e2534d3366914226bdb94adf06d00c8537fdde363d0269e0610e1e8fd9,Samba,WEB3 INFRA,
0x4461dd764ba9de1c4559972250f43ecac0e0bc9893c6629b1687177470c1aa72,Open to the Public,WEB3 INFRA,
0x6a2b25cbf963850d48ac9fcea30fc5df74a0faa80d479e5dc0458767d7548eff,UpStore Sheild,WEB3 INFRA,
0x6a211acc83116da195d71908fd32f82fda1c579363b102a5cf825bbee9b4025b,TokenHub DeFi: Customizable Loan Pool Factory,WEB3 INFRA,
0x6097d6982cd9a1d364a37e615fb31ac05e6bc6bbbf30582d18c43baef75813a6,Eth Deb repository,WEB3 INFRA,
0x89e50232d5b9a17ed8547823bb4c66730b24acb076a5812391cd060fad67eb01,Proof of Philanthropy: A Verifiable Giving Pledge for the Modern Age (GG23),WEB3 INFRA,
0x0192fd72d195ccf37dc79750b830ac24b9b3ba5fd602286e90fd7e53122cd565,EIP.Tools,WEB3 INFRA,
0x809200832ea46d32a4f95f94e73fc6d2cfa75d449db5a8b2cef2420e8d73144d,WYT Network,WEB3 INFRA,
0xbcdf771115a3b334eff3df10c10b8b65563c2f92a58922de8e8836ec1904c68d,AIxScan,WEB3 INFRA,
0x9119659eb8173b32bb4423f83702ee30c1e1db49ae0c07b00263bf3ea7f4d4ef,Deep Funding,WEB3 INFRA,
0x7e5821e34fb1a8c9cd2631c63dd8039c516eca0b4780a39f5e73a25a2687255c,Make.DIY Utilities Web3,WEB3 INFRA,
0xfb5966e66536dceb70d9155ffa266855110a7001723c5887fb2fa9f4aeee5919,paynet,WEB3 INFRA,
0x8d10bd0b7445d1791f2bde8d9649828d77157f157cb39faf1f4e09a70ed102a6,Guild Guild,WEB3 INFRA,
0xc4cac08995f60881deb1df63b29636a67b9d0cc809c34b1138a80ae3f0749746,Pairwise: Empower your community with smarter voting.,WEB3 INFRA,
0xcc36baaf526f6e98b69c8290cf3df258f3f7bf68292ab2143edc678f9ed0ce6e,q/acc-  Quadratic Accelerator,WEB3 INFRA,
0xe084029d76ed3ac56650706b083845b0ffe786e9abb770f14c0a145381c32b2a,Opti.Domains | Scale ENS to OP,WEB3 INFRA,
0x37bfa7d0eca13f7845180c78a4b7958bf99d02f25037f8903af7982dc3ea1f47,LexClinic [alpha-to-beta],WEB3 INFRA,
0xc96f4ae8811a648a592f431fdf1ba837d55861de660298059dab6fb81be063c0,dWeb.host | Free IPFS Pinning for all ENS domains,WEB3 INFRA,
0x29731d9ec0ae453f5a75430735ab1e20bb85dceb77892469da097aec4bfca54f,Lakat 📜,WEB3 INFRA,
0x61a0738033c9247b1236c3d0ee1cc3a098e114d8292394c57b4083ef78ab8278,Cubid Protocol,WEB3 INFRA,
0x8f995b13199ce3c032de50515b7bfef865bee645cefc7feac76f84b2beae2f59,Peersky Browser,WEB3 INFRA,
0xb5562d378993e56611dfdb1fa145782222c06812669521282cd287976620df01,CryptoBoddy,WEB3 INFRA,
0x4a960782a3b8681844dfecd31dee6fcbbb06028493240b524e8fa1dab18b2b64,Web3GPT,DEV TOOLING,
0xe81bec1db1a71473aaa482d44f142bdfc6717e36db537372040c8db414e90e78,variance,DEV TOOLING,
0xb41886ba1efb90342778b99e54257c26a58a723ac6820b1578a359824452044f,OrbitDB,DEV TOOLING,
0xa7b8948d5c8b8d2cd502cd9c8638dda011ecfbfc10abe0df58a504e4802f5d6d,Human Passport (formerly Gitcoin Passport),DEV TOOLING,
0xbe25f387e9a599ccf2cb0525a5e69be8704ac8e610fe7b26f32023c390fcc5c4,Iggy - Web3 Social Framework,DEV TOOLING,
0x0685571a364d43f0c52de722141375d8d38e95c5354c564ac7f673d54e884f9a,Ape Framework,DEV TOOLING,
0x20dfd9a36a5713f967bbb578fc16de3a4fd97195c929ae5819929642de17d09b,web3.py,DEV TOOLING,
0x7188748a141f5d82a01c699bcc1ea8e005c4712844a4abf43e4b12368ac3721c,The Wizard,DEV TOOLING,
0x3cc8662636a42846fa8f2c73b7c5dcca7c51610cd36aaa18b56fddc7d1d9a5f9,Scaffold-ETH-Mobile,DEV TOOLING,
0x51e6a19e11caa5b107e61215a94d646a1d6209e0ecb4b9c4507e568040401142,Nexth - A Next.js + Ethereum starter kit,DEV TOOLING,
0x2fd12cb88cba8d832aaca4cfb55962a2adc78491132d388586b3f58afb1264e3,Open Source Observer,DEV TOOLING,
0x7bd8f08d99d1dfbd44e49fc8d3adbaba5f3d6d1d94ba5ad0ff3b2ec951b5c9a1,Otterscan,DEV TOOLING,
0x5103b62b44ea110b8f907fa57c2684a8a03962da5414f18dd63f680f861c57cb,Ethaccount,DEV TOOLING,
0x1249835eaab22b2d2fd7f34556a20cae9cfd902f56c54789730081e6996ed012,Astral,DEV TOOLING,
0x5876a29572047b39be601fcd3d6ae177504d5a19fd5601c8d23b6cc3560501cb,ABI Ninja,DEV TOOLING,
0xb53b487d661f2efa3ddc77ce0f287d6b5e62b1e24aafda7fe8605d5fbc00e84b,Lighthouse,DEV TOOLING,
0x907e3d02907d4fef4c0fb51051b2412ad7ee1637473a76cea6560aae3dfadff1,Know Your Rpc,DEV TOOLING,
0x455a568be64843690b179b7d32d44e7bfc53e71815e18cb699af2c5ec80c2a6e,Sablier Extension for Scaffold-ETH 2,DEV TOOLING,
0xd4427d0ffc2b8f58c4ef28410deed1158a7d5e405d6cd5bedb0487441d2ba452,Ethereum Distribution System (EDS): Secure & Efficient On-Chain Code Distribution,DEV TOOLING,
0x6daf251d0d575422d5f222052060b59acf2bad92148e1261ad1dbfcc474ab06c,Builders Garden,DEV TOOLING,
0x692fbb6b2d3b5469b23f4d87c0d9d62e56e339214a682375902b1cdbf4c787b8,BetaUI,DEV TOOLING,
0x5dc6ba820b4b333439d4bb4bebec2d55ceb6edc7f422cc22325184d3ee2c1a46,rekt.news - The dark web of DeFi journalism,DEV TOOLING,
0x2175520421f3304bd3ffe4ba97f6d8c61de9210dc6da0b596c243119874ad791,SuperUI,DEV TOOLING,
0x5f61bac522130fcc98305a95ab4379445f2f13c27632b67c3fe437835f2740f3,Scaffold-ETH2,DEV TOOLING,
0xa69971a1d0e5b72ec73d6504b6a67ed620f837dd10ec9aaeda1d5847d29cf272,WebHash,DEV TOOLING,
0x05a5d1739241a3665c57ff73c8222fcf4dcec7f4fdf02877b237bc42150152b0,EVM Tools | Toolkit for Web3 & Zk Dapps,DEV TOOLING,
0x15efcb2d16f0f0233f51f59cffb576fa301cf5db6be97b890297196b13995f0b,growthepie 🥧📏,DEV TOOLING,
0x370f4bde94273ecff1215d723021ff5374c4ca4b92ceadbaf21166d4163ee732,Etherplay Open Source Game Studio,DEV TOOLING,
0xe4e40336e03c72d779287dd3ff21241893bb59e2bc47213a94047aaa24832713,Regen Eliza Plugin on ARB,DEV TOOLING,
0x1702dd2a79c90d1730039ce9253dfedcf71ff8383fb0aa1e14a37c6a46c71561,ForgeMeta,DEV TOOLING,
0x53c004c04e96f375f4ff0dc8616c9d956138415c0299b77d58eac38a3ae4ee6e,Metakraft,DEV TOOLING,
0x2599d2f2c4c9ffc25fa8d11bcd14a8a9de37b072911ffd7cf3ce515e479375f2,Loop Decoder,DEV TOOLING,
0x38014bd86d511c16e1862e9e0933737e4dc365b74eaf573e4d2f2e06bec2cd1c,Remix IDE Plugin for Aztec,DEV TOOLING,
0xebddc2f4fbb0706affbc797cca5cbc4fd2112fe1bca1cbb0e947338e5ae34959,VMkit,DEV TOOLING,
0x9dd138d22b68c074ec450b2560a00d89887058e886e433bb527fa6fce3f9b352,dDevKit,DEV TOOLING,
0x08adca0c579251a8258e2e87433dfc15fbf5e58d18d1c905cfb78b29cff4d3b5,n8n × web3,DEV TOOLING,
0x7e39a5a2d5ed8788a4bc6a4d749628a95e2792426f18f2f1c359aa1249f2eda8,Digimercados Onramper Agent Plugin,DEV TOOLING,
0x064a5bb8450ea5cbd1615369bfaa4cfd62159f9cf9c087c5d23bb6d2a9ac0354,Bonadocs,DEV TOOLING,
0xfea413dfe93e444462785e29ac6d024133219ed459163edede986adb84ed2711,DeFiScan,DEV TOOLING,
0x4c8d716d67653b5aa14300221f05e19c96cde76fcf628fbf6fb92bb014839e64,Swiss-Knife.xyz,DEV TOOLING,
0x991fb97b5a103c0a62b907878690d17e287e19185a3d3211e92e98c5c8f5137a,forge-stack-tracer,DEV TOOLING,
0x7e1cb25f8531aa3ccd9f093ade213b00a9dea63ba303520892df624b0fe2a047,Wagmi,DEV TOOLING,
0x74c6fb94f964c074d232485953afe9686774f74054c82f0bbcc7af361199a864,HookGPT,DEV TOOLING,
0x04ab372485d7230970a802702561eef7427eea13883960bd2812040b0bad0f2a,Cosmic Capsule: Blockchain-Powered Digital Time Capsules,DEV TOOLING,
0xc4a58104b6354329902bd078af6739236da8fe981b9d7431d6fafc3fbc7d9027,Crypto-Repos,DEV TOOLING,
0x508f96cc2a4c05af9dc1a741410193d8d86b9f07ea31926c1a8c1e93f87ce860,Solar Space,DEV TOOLING,
0x4bb2e6fac4b614cfe450944775b05d1056cb6dacf3d77f5c7c0ff4802e804cf7,ArbitrumHub - The Gateway to Seamless Navigation and Exploration in the ArbitrumDAO Ecosystem,DEV TOOLING,
0x6a94cd9f978dd077f96eb4fa87b83dcb70d222584ba4beb348fbd80a05c39b07,MemeCatLandar - AI Meme Calendar,DEV TOOLING,
0xc0c4f5b4bbfc395170964d8f7731b3b964427a782206599be8aa2b7abbd00cb3,Open Labels Initiative (OLI),DEV TOOLING,
0x5ab014eb31f6c66475d6f20be8a1855eea5d95b7699e1012c3d3dc4a92a58954,LEXON,DEV TOOLING,
0xa03b064625f8b4fca617800be95013ba80093e4ed947c1c1d038c6b85bebfb70,Pattern,DEV TOOLING,
0x38ce30d5d7ee704ec6d1530711cce12a295d5608642f4640dd8d0c072d11a3fa,EVM Explorer,DEV TOOLING,
0x4e3274ad612859bee5b459a1bae8ec04f25c5d85df8eb430923bbd391f36e313,PLUME: Enabling Private Voting on Ethereum via ERC 7524,DEV TOOLING,
0xa7aa25151d839694c2fa6150ae5b65faf3bb66c1da14149916a9bb8a43c6e4b5,EdgeOS,DEV TOOLING,
0x2b9be3c545fd71f47c0bc1c17c04baeb8f3d4c350b777b1aeff5a093216e47a3,blocksmith.js,DEV TOOLING,
0xf42c345d1a3ae64d5953ebf95fe1f294509df92cd4be45675db90febb70ad8f2,Token Engineering Commons,DEV TOOLING,
0xc9849fd1575e50e123e761b751d6be832c152100c08cdf4bef4a0f5f415cdc20,ami finance,DEV TOOLING,
0xf838a4863313dcc01882dd8dc1791becd561789115429a2f548bb5caa61be20f,NebulaID,DEV TOOLING,
0x04cfd34e562c238934ab8aaad2aa2b649b57a4897ff1fa4da1ea1af9455173d9,OpenZeppelin Contracts Library,DEV TOOLING,
0xcd87bca91e6e004a7dcb8ce25ff8173a3b744f7d795112b3d25f42ce50c0aa03,Chews Protocol,DEV TOOLING,
0x2ec218d189a1726a1d19616640a0f6f8849db62d071d3bce43008b57859263a2,DAO Coalition,DEV TOOLING,
0x4223c86fdf4a454546dcde3dc8a2c96f7a5218e0ba1fb0c1a3393887a4b88391,EAS Pulse,DEV TOOLING,
0x61a0738033c9247b1236c3d0ee1cc3a098e114d8292394c57b4083ef78ab8278,Cubid Protocol,DEV TOOLING,
0x82bf0d1cd9a7bc7a7f61c6b996de8f268830380ccf3cfb9d67f07fa1b000826c,framelib,DEV TOOLING,
0xae927a656f3a4b626112c12ab1255b352041ab32d5313d2c94b8b9b297ddfb98,Decentralized Cleanup Network,DAPPS & APPS,
0x81e93d890857abf601186b625cc9a95aa4c859e9aae814673a13125eff38a196,Eppie — Email 2.0 🦄,DAPPS & APPS,
0xd9b1d85b459118b33c83e4e40a5b3500b691600ff98bc79c49a2377b51d66ba9,Kapan Finance,DAPPS & APPS,
0xa6b3ac8eaefda73ea83fbce5fd4724606f0ff6e801ef4160ef82ac37001e2a11,Pheasant Network,DAPPS & APPS,
0xdebe51a2b4727f5eb6fab0c707a4f6507e542a8bdcd031eb10c7035799ed0ba0,IusNaturalis,DAPPS & APPS,
0xdee6c892d6f2e2e53004d03f76076cdc8e134139ad7e0787b95492614fa6496f,Yoki Finance,DAPPS & APPS,
0xfd061a146da1309cf6e7fb5cdd4aaab61b298ecc23d7750ab1ac21ac9b817560,WashikaDAO,DAPPS & APPS,
0x19b8fdb6bdea6cdb71a19f43c0ec0962ec08b563c57f4c2307d0b954123dd67e,Kiwi News,DAPPS & APPS,
0x4e9a6efc02fca23d8b644389931e3ebd48ed3468a85b0ff5d6d96ab52e147d78,Chora Club,DAPPS & APPS,
0xf56dd3fa328f36673fd27422bf169559797919b4e8dd639b341d14127219c70a,RubyScore,DAPPS & APPS,
0xc313a8cea83983edd81609810cba8f3828b2903438afceebba54438c5c3e15f4,ShiftCTRL,DAPPS & APPS,
0x9230077b97132b6dc3e201e7428d2576d108adcc1431fc504bf0098bfab152e5,Library Protocol,DAPPS & APPS,
0x22300f73460f0b7ab5833795ee104f0ddca23007da71b0f60f4356f731ed9495,Wrap on Privacy,DAPPS & APPS,
0xa018fb58a9580407f1abd5c5ed6f43ad3f0c41b89eff7694d46d94082832516b,ChainCraft,DAPPS & APPS,
0x261187889002f755d8e516197931b9f38a826f0c99f6e7136bc8186302dc1b1e,web3radio,DAPPS & APPS,
0xd77bec3500a1b3e54ead391aeaad9a664f92643beaa8a50d4302bd67ef7949cf,Plebbit,DAPPS & APPS,
0x2651563802989f9bc6de16ab5a173d5ad755c0a22f14d8916a31eebcf268afdd,Beepo,DAPPS & APPS,
0xf770c31a9c4eda18ca1db9bb19db2666ae92bbcf8d212d11da6ae271130120e2,DeepDrop,DAPPS & APPS,
0x85bb0ff17f21531b6276fa3bec18654ec302cdf5a33b6d7b72a98f684e5a1fe9,Decentraclasses,DAPPS & APPS,
0x65448704f2398e9319fa7da4ebf95b9336bea8f50630d5ce2adc7ed28e25288f,Byte Onchain,DAPPS & APPS,
0x2f1057fe56bbfce069299a5f08b25a68ca258b07662c590e3a9122fd4bf8998e,VineFinance,DAPPS & APPS,
0x59add21292d6c822dee542c9c64f45c2d14626e800ab34e2b5779338cbd74d1b,IRONBALL.xyz,DAPPS & APPS,
0xae22739594e490cb7b044c4be01411a73e0c6b730c8edcf74a897478d06f8f5d,AsteriskDAO,DAPPS & APPS,
0x0e746fd798da04d3ee071831372a81f18723996b41b48dc342737125460ffac6,Rankify: Meritocratic Autonomous Governance,DAPPS & APPS,
0x5f3a823202a240075d7589bfdd6081bd7e10e7011de1ba5a2b011dcb9105e074,Fundit.Fun,DAPPS & APPS,
0x931a64a4f678b30b165b845b8622f729a1cdf2d2a7a4f2221a9ee8ba268f67c4,ArbiLearn,DAPPS & APPS,
0xba1a48507d1c998eeee6bcac441efbc07538646e87aedfaf5277b9eec78c7323,$EARTH,DAPPS & APPS,
0xdcc43a7782a75c8d14d62a2ee7d9f7eb2ec0f3281dfd4e9517b30233dc2d42e5,Rahat,DAPPS & APPS,
0x599ec45186924f2496fc8a26dc827112aa2b62a43bfb25e3b42f869e8b5e300f,The DeSci Journals (version 4),DAPPS & APPS,
0x5a1d81860efda36bae09cb6cb491c922c0bc878ebada3a566184a27c688f5b81,Open Collective v3: bring your collective on-chain,DAPPS & APPS,
0x85829ea95d775a7b619d0c39d225afe4f6b84fa10ee980b78b1f2a5aec4e5c43,Spinach - liquid retro funding,DAPPS & APPS,
0x1eb6bbad0896e16d57cca476cb0a37f0adf1dede385378d8f65224a09bc8fa51,Breadchain Cooperative,DAPPS & APPS,
0xafa569b3df50c6c51374bf2b214eb7c948cf3dce2a65c3f627bce0a2603cec72,Stogram,DAPPS & APPS,
0xdbffe6eafcb836ed7fb9b2b0dd8e6dbfef147ab447341cad1ad32b25e5d46b4d,GiveStation,DAPPS & APPS,
0xe573019b9f23a496663f5944a83c8acdc99792bfc5f5ad603ee8f6cb0f46f9fe,Hydrapad,DAPPS & APPS,
0x9a9cda60bcd1b566669a6e03d79dcea4be966ebdef25dc9754cbd4170e99c61f,LunCo: Metaverse for Space Engineers,DAPPS & APPS,
0xe900bcc473a3ed4d8a74a13bde447312e89f9ca4873005daaf76b6534ad8f690,RenAIssance Art,DAPPS & APPS,
0xe40feca037ad9a22c972a53af3cfabb51b4e46a6e52b46528e94d2c01d1383b4,Flicker Finance,DAPPS & APPS,
0xc60c26e2662309a7141662f2109f47f4e0fd1823610be25880f6f2d0c37c3d4b,Privatefolio,DAPPS & APPS,
0x5d0a6878dbad1b32495b9ad7ab8da32819e953c98002587641788e13a3be8891,DeVouch,DAPPS & APPS,
0xfa16d7d0c1c13c2821d3d94e8bbc9aa7f2c1219d057e1e747ea6db4bc4712fc3,Flow State (Streaming Quadratic Funding),DAPPS & APPS,
0xa40bea19733bd9fad64d6c9807497041f379c12d93af17a6283e2761e20917ad,Bankless Academy,DAPPS & APPS,
0xa0d1c54b1f3922ac6e21fb5f3cb157f96ebdfd6001945952f2c2de1e813a6636,SandBlox,DAPPS & APPS,
0xa73b59fdeceb5e6e1218df3da5dcd2cd01e4fdc2ff52f0a15a0f1afbb2f619bf,nounspace,DAPPS & APPS,
0xe2ef022ecfa1e3108e45d82a68d66790c89da5742482c3844cd8f7c788952e63,Harvest.art,DAPPS & APPS,
0x7db138952e569707526b028c218f0ba4d41189f90a97f544b16e7a989e1b0fb1,ggframe,DAPPS & APPS,
0x4a16bd8a8366c8491b91558d249d192d696702e3037a63238c6acf648b69051e,Toban -当番-,DAPPS & APPS,
0xf56cccf1a784ee92c517c0e28adea9af60dc3739717ec8902d6db92192489f5e,BloomersTV,DAPPS & APPS,
0x55ca8882dd91df64f677b46d597ea50490be1652c8d41044f5d34bc1258e955b,RealtyHub,DAPPS & APPS,
0xa8591b322f8e25b13a3b53190920695c48ccd1d8a32657113b90ed6aca1d1841,Smart Disperse,DAPPS & APPS,
0x233b3b3a4e2e0f114c2fb5412e810d9fcab0138b4b3087f268628a62c5b3e5c0,Web3Privacy Now,DAPPS & APPS,
0x739d2e516d326d012864d2feee15e552dc48c250331bb04e929a9124c3d904b0,Regen Atlas 🌍,DAPPS & APPS,
0x9188b3a42cad446c5df34508271ab52828102e9cc85452b41709e58756dd3847,Collabberry,DAPPS & APPS,
0x6649852db5092781fa9c7d42577609e9c45480db4c59966639df7f865471b349,Atlantis,DAPPS & APPS,
0xf97688cfbe25a0db800f876787a2cdec20d48757862573278dfb6fa8b8a1c817,Vanna Finance,DAPPS & APPS,
0xe3c5497e3073669d3788a015ce9e89fd2ba14028af892c613b7dad8e742d7b46,Gardens 🌱,DAPPS & APPS,
0x9ec9b1dae5c3a2378c7d40b56ca5a3796cd253b038376e520e2fc4a4ab57ca8e,Omnify Finance,DAPPS & APPS,
0xc102c4d1950b6c73cd589a79814dd9beac9edc6269103433b6a727d93d57213b,Event Horizon,DAPPS & APPS,
0x6070e577df16d9e7a99f50e7cb54288f310bdad401f9d87e3ce531da71e32099,Node Speak,DAPPS & APPS,
0xd6e031d8485b1c9a56e742636178c5fccab387bc01008edf73d0f7e97ff5e2ac,ScoreFront,DAPPS & APPS,
0x72f5936b332c294b9bb4290f711b885b3ffa254bc740733a7f189995df8c73de,Tao,DAPPS & APPS,
0xe03eb1aef3e2dc29d5f3549b4faa6327d2606faaee17529ea68e727b675a2036,Creova,DAPPS & APPS,
0x183f13028588a3e6082d6642b52d4829823720efd1e5bc973856c406f1299b66,Silvi,DAPPS & APPS,
0x40352ec04033c9d170d9fc69fb712cf742907ff0024961d6c54baddf89d105eb,Txcity,DAPPS & APPS,
0xeb5ca27a09a560debed6361953771356d20fc3ea765c2fbd23ecf34ab57c0047,NFTPriceFloor,DAPPS & APPS,
0xeff81a9b1ca1db940b74d9b8876c8d8cd62f69f0f1263c28399f4a0120cacf56,Harmonica: AI-powered facilitation of group sensemaking,DAPPS & APPS,
0xdce9247fb94e7db0ec152d6c7e6db5db7ba3d8bcfc0874694ac3c41a86c48a27,Public Nouns Operations,DAPPS & APPS,
0x4baeb225e52cabb4235d50429348969aff5da3370235a2c87f6b956b8e33b3c5,Pond,DAPPS & APPS,
0xfd3c441151a0267402323d878d8d1c37def65e0948e1d7e292cc7aea2d92818c,Grant Ships,DAPPS & APPS,
0xd993e71328794455c2370f9e7731083cffd518a86ed5333cddceeaa346274fca,DappLearning Rewards,DAPPS & APPS,
0x841558f763a17a51f7e6f50071541b609c5396208c570da10ef11b1349055eaf,Follow the Black Hare,DAPPS & APPS,
0x04eceede743d19c498a90952e9903e9ee46f3dc77766bcc85d1eb9b3e7ce7a5e,Unitap,DAPPS & APPS,
0x50e981de1e62aaa755ff0046cbd6befac3a296595ecda10f847c143ed6f2543f,Using ZK for game optimization in Dark Forest,DAPPS & APPS,
0xe234dbf1ff2a7166c26bc5c00efe53dc9c53387fb76da35fe2d7da4ec78c9783,SpeedRun Ethereum,DAPPS & APPS,
0xa8b46215a7052f1038521abe875eec9f53017a5237bfbd4d768350853e9bb300,SafeNotes,DAPPS & APPS,
0x55dfe0702ebe483a82fb6fa15ca3f6bccd16839acb4c53380abb1fb92c500f19,CampusatQR,DAPPS & APPS,
0x5292ddf8854afaefc8d9fc16b620483f263b34506832f09ef76a9e03468ebad3,SignalMind: A Public Cognitive Tool,DAPPS & APPS,
0xf962fb7679660f96e137e9ae12b0962bf6079d40ff18befecf9246ab2111bc30,Bloom Network,DAPPS & APPS,
0x0ef8265983dc88987f5fc276db1094103d7b99a686bd50087feb48553998464e,Unlock Protocol,DAPPS & APPS,
0x668333acfdfa16a6a9cac31af60d933bf92f70426a7e9ed6f7d7b8f1c2113b1b,Ecosystem Vision,DAPPS & APPS,
0xa69971a1d0e5b72ec73d6504b6a67ed620f837dd10ec9aaeda1d5847d29cf272,WebHash,DAPPS & APPS,
0xa87f5348653ff983aab7e9fcaf3aa8164780b06087734949d751bc197b8b24ba,Zazelenimo,DAPPS & APPS,
0xacfb69c6e3b27580e84fccd12f4913d04e16c1b972f8d3b73dd0811a8d1751aa,r/acc,DAPPS & APPS,
0x62f25a11c2ae5a2af563cc5b1f772b3aebe1bd4a0a82e41a78e61e1db972ad7e,GainForest,DAPPS & APPS,
0x60269bb8fe720deda28337a4384853608f5ad7ad83d58164de4faa6284ee0b7e,Project Merlin DAO,DAPPS & APPS,
0x32904b351f232304f2e7816aca7d7a355f58beed975b6a2d3f09fece0847d20f,eth.cd: decentralised interaction with decentralized identities (ENS).,DAPPS & APPS,
0x3c24142776b074f3c4fb7d9bb3155005f38cfb11b836e919bf27966c9ecb0c90,Utopia – Collaborative Maps for Real-Life Impact,DAPPS & APPS,
0xa5d7f0345728521da82602774d3efcc5eaef0556ecbd1d4735dee12e12ea91ff,AppLenz,DAPPS & APPS,
